scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,2,0,0,2,3,5,0,0,8,1.1,1
1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,2,0,0,2,1,1
8,0,6,0,0,6,0,7,0,0,7,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,8.8,9
16,0,12,0,0,12,0,15,0,0,15,0,17,0,0,17,0,17,0,0,17,0,17,0,0,17,0,17,0,0,17,0,17,0,0,17,0,17,0,0,17,0,17,0,0,17,0,17,0,0,17,0,17,0,0,17,0,17,0,0,17,16.8,17
32,1,26,0,0,27,1,26,0,0,27,1,27,0,0,28,1,27,0,0,28,0,28,0,0,28,1,28,0,0,29,1,28,0,0,29,1,28,0,0,29,1,28,0,0,29,1,28,0,0,29,1,29,0,0,30,1,29,0,0,30,28.6,29
64,2,52,0,0,54,2,52,0,0,54,2,52,0,0,54,2,52,0,0,54,2,53,0,0,55,2,54,0,0,56,2,54,0,0,56,2,58,0,0,60,2,58,0,0,60,2,59,0,0,61,2,61,0,0,63,2,61,0,0,63,57.3,56
128,5,108,0,0,113,5,108,0,0,113,5,108,0,0,113,5,109,0,0,114,5,110,0,0,115,5,110,0,0,115,5,111,0,0,116,5,112,0,0,117,5,112,0,0,117,5,113,0,0,118,5,119,0,0,124,5,129,0,0,134,116.2,115.5
256,11,223,0,0,234,11,223,0,0,234,11,224,0,0,235,11,224,0,0,235,11,224,0,0,235,11,225,0,0,236,11,226,0,0,237,11,226,0,0,237,11,227,0,0,238,11,228,0,0,239,11,236,0,0,247,11,259,0,0,270,237.3,236.5
512,22,475,0,0,497,22,476,0,0,498,22,476,0,0,498,22,477,0,0,499,22,477,0,0,499,22,478,0,0,500,22,479,0,0,501,22,483,0,0,505,22,484,0,0,506,22,488,0,0,510,22,498,0,0,520,22,518,0,0,540,503.6,500.5
1024,46,990,0,0,1036,46,1010,0,0,1056,46,1011,0,0,1057,46,1012,0,0,1058,46,1014,0,0,1060,46,1016,0,0,1062,46,1016,0,0,1062,46,1019,0,0,1065,46,1022,0,0,1068,46,1046,0,0,1092,46,1067,0,0,1113,46,1071,0,0,1117,1069.3,1062
2048,93,2261,0,0,2354,93,2261,0,0,2354,93,2267,0,0,2360,93,2268,0,0,2361,93,2271,0,0,2364,93,2272,0,0,2365,93,2272,0,0,2365,93,2272,0,0,2365,93,2275,0,0,2368,93,2276,0,0,2369,93,2278,0,0,2371,93,2340,0,0,2433,2364.2,2365
4096,186,5044,0,0,5230,186,5077,0,0,5263,186,5079,0,0,5265,186,5084,0,0,5270,186,5088,0,0,5274,186,5094,0,0,5280,186,5103,0,0,5289,186,5115,0,0,5301,186,5129,0,0,5315,186,5170,0,0,5356,176,5175,0,0,5351,186,5270,0,0,5456,5296.4,5284.5